date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:30	220/220	---M--	200	added ('OK')	text/plain	etag:%226620a4f1-dc%22	https://pantip.com/robots.txt		(from )
15:13:30	160879/160879	---MCZ	200	added ('OK')	text/html	etag:%22c3z9u1m5om2u8e%22	https://pantip.com/	C:/My%20Web%20Sites/pantip/pantip.com/index.html	(from )
15:13:30	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225b72fb85-47e%22	https://pantip.com/fav-icon.ico	C:/My%20Web%20Sites/pantip/pantip.com/fav-icon.ico	(from https://pantip.com/)
15:13:30	44300/44300	---M--	200	added ('OK')	font/woff2	etag:W/%22ad0c-190ed0f14f8%22	https://pantip.com/static/fonts/material-design-icons/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/pantip/pantip.com/static/fonts/material-design-icons/MaterialIcons-Regular.woff2	(from https://pantip.com/)
15:13:31	605674/605674	---MCZ	200	added ('OK')	text/css	etag:W/%2293dea-193fdf0e820%22	https://pantip.com/static/v1.39/main.min.css	C:/My%20Web%20Sites/pantip/pantip.com/static/v1.39/main.min.css	(from https://pantip.com/)
15:13:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Mar%202025%2008:13:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/pantip/www.googletagmanager.com/gtm.35445.delayed	(from https://pantip.com/)
15:13:31	43950/43950	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267372990-abae%22	https://frukt.pantip.com/kokos.js?ts=1741335181417	C:/My%20Web%20Sites/pantip/frukt.pantip.com/kokos9ca2.js	(from https://pantip.com/)
15:13:31	20726/20726	---MCZ	200	added ('OK')	text/css	etag:W/%2250f6-193fdf1ab70%22	https://pantip.com/_next/static/css/480672f85bab45b8.css	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/css/480672f85bab45b8.css	(from https://pantip.com/)
15:13:32	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-193fdf1ab70%22	https://pantip.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://pantip.com/)
15:13:32	3450/3450	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d7a-193fdf1ab70%22	https://pantip.com/_next/static/chunks/webpack-2dfdae1d29e2a5f0.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/chunks/webpack-2dfdae1d29e2a5f0.js	(from https://pantip.com/)
15:13:32	1093122/1093122	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210ae02-193fdf1ab70%22	https://pantip.com/_next/static/chunks/framework-539aadfe022d43e4.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/chunks/framework-539aadfe022d43e4.js	(from https://pantip.com/)
15:13:33	100103/100103	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218707-193fdf1ab70%22	https://pantip.com/_next/static/chunks/main-ce4e9d4380103aef.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/chunks/main-ce4e9d4380103aef.js	(from https://pantip.com/)
15:13:33	1648210/1648210	---MCZ	200	added ('OK')	application/javascript	etag:W/%22192652-193fdf1ab70%22	https://pantip.com/_next/static/chunks/pages/_app-2cfbf9db0710eb0a.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/chunks/pages/_app-2cfbf9db0710eb0a.js	(from https://pantip.com/)
15:13:33	23496/23496	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc8-193fdf1ab70%22	https://pantip.com/_next/static/chunks/pages/index-3473c0d52972a043.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/chunks/pages/index-3473c0d52972a043.js	(from https://pantip.com/)
15:13:33	3365/3365	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d25-193fdf1ab70%22	https://pantip.com/_next/static/oqC4QkOeCNt0GefFbsYBC/_buildManifest.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/oqC4QkOeCNt0GefFbsYBC/_buildManifest.js	(from https://pantip.com/)
15:13:33	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-193fdf1ab70%22	https://pantip.com/_next/static/oqC4QkOeCNt0GefFbsYBC/_ssgManifest.js	C:/My%20Web%20Sites/pantip/pantip.com/_next/static/oqC4QkOeCNt0GefFbsYBC/_ssgManifest.js	(from https://pantip.com/)
15:13:34	5379/5379	---M--	200	added ('OK')	image/png	etag:%2267b6b8aa-1503%22	https://ptcdn.info/mobile/logo-mobile-pantip-white.png	C:/My%20Web%20Sites/pantip/ptcdn.info/mobile/logo-mobile-pantip-white.png	(from https://pantip.com/)
15:13:34	118/118	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Mar%202025%2008:13:05%20GMT	https://pantip.com/forum/new_topic	C:/My%20Web%20Sites/pantip/pantip.com/forum/new_topic	(from https://pantip.com/)
15:13:34	40457/40457	---MCZ	200	added ('OK')	text/html	etag:%22q3eil4o6c0pmh%22	https://pantip.com/login?redirect=Zm9ydW0vbmV3X3RvcGlj&pos=2	C:/My%20Web%20Sites/pantip/pantip.com/login58da.html	(from https://pantip.com/)
15:13:35	46997/46997	---MCZ	200	added ('OK')	text/html	etag:%22b0e3pugx13uyt%22	https://pantip.com/communities	C:/My%20Web%20Sites/pantip/pantip.com/communities.html	(from https://pantip.com/)
15:13:35	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Mar%202025%2008:13:06%20GMT	https://pantip.com/message	C:/My%20Web%20Sites/pantip/pantip.com/message	(from https://pantip.com/)
15:13:35	40443/40443	---MCZ	200	added ('OK')	text/html	etag:%22o56sk7ihnapm3%22	https://pantip.com/login?redirect=L21lc3NhZ2UvaW5ib3g=	C:/My%20Web%20Sites/pantip/pantip.com/login2f8c.html	(from https://pantip.com/)
15:13:35	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Mar%202025%2008:13:06%20GMT	https://pantip.com/notification	C:/My%20Web%20Sites/pantip/pantip.com/notification	(from https://pantip.com/)
15:13:36	43947/43947	---MCZ	200	added ('OK')	text/html	etag:%221pn4cixjw2s1e%22	https://pantip.com/home/feed	C:/My%20Web%20Sites/pantip/pantip.com/home/feed.html	(from https://pantip.com/)
15:13:36	199662/199662	---MCZ	200	added ('OK')	text/html	etag:%22yu4ae9xfn43h55%22	https://pantip.com/home/pick	C:/My%20Web%20Sites/pantip/pantip.com/home/pick.html	(from https://pantip.com/)
15:13:36	195564/195564	---MCZ	200	added ('OK')	text/html	etag:%22180zc4lking3ffh%22	https://pantip.com/home/hitz	C:/My%20Web%20Sites/pantip/pantip.com/home/hitz.html	(from https://pantip.com/)
15:13:36	48522/48522	---MCZ	200	added ('OK')	text/html	etag:%22xl19fmoq2dvlj%22	https://pantip.com/home/communities	C:/My%20Web%20Sites/pantip/pantip.com/home/communities.html	(from https://pantip.com/)
15:13:36	266828/266828	---M--	200	added ('OK')	image/png	etag:%2265966be9-4124c%22	https://ptcdn.info/doodle/2024/5d07273900d01f33da0f618c_cl018k3w7c.png	C:/My%20Web%20Sites/pantip/ptcdn.info/doodle/2024/5d07273900d01f33da0f618c_cl018k3w7c.png	(from https://pantip.com/)
15:13:37	249735/249735	---M--	200	added ('OK')	image/png	etag:%2265966be9-3cf87%22	https://ptcdn.info/doodle/2024/5d07273900d01f33da0f618c_kltlxiu7k8.png	C:/My%20Web%20Sites/pantip/ptcdn.info/doodle/2024/5d07273900d01f33da0f618c_kltlxiu7k8.png	(from https://pantip.com/)
15:13:38	163139/163139	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:09%20GMT	https://pantip.com/topic/43296890	C:/My%20Web%20Sites/pantip/pantip.com/topic/43296890.html	(from https://pantip.com/)
15:13:38	217522/217522	---MCZ	200	added ('OK')	text/html	etag:%221132m01fbfg3qo2%22	https://pantip.com/tag/%e0%b8%aa%e0%b8%b8%e0%b8%9e%e0%b8%a3%e0%b8%a3%e0%b8%93%e0%b8%a9%e0%b8%b2_%e0%b9%80%e0%b8%a7%e0%b8%8a%e0%b8%81%e0%b8%b2%e0%b8%a1%e0%b8%b2_(%e0%b8%a5%e0%b8%b3%e0%b9%84%e0%b8%a2_%e0%b9%84%e0%b8%ab%e0%b8%97%e0%b8%ad%e0%b8%87%e0%b8%84%e0%b8%b3)	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%aa%e0%b8%b8%e0%b8%9e%e0%b8%a3%e0%b8%a3%e0%b8%93%e0%b8%a9%e0%b8%b2_%e0%b9%80%e0%b8%a7%e0%b8%8a%e0%b8%81%e0%b8%b2%e0%b8%a1%e0%b8%b2_(%e0%b8%a5%e0%b8%b3%e0%b9%84%e0%b8%a2_%e0%b9%84%e0%b8%ab%e0%b8%97%e0%b8%ad%e0%b8%87%e0%b8%84%e0%b8%b3).html	(from https://pantip.com/)
15:13:39	229436/229436	---MCZ	200	added ('OK')	text/html	etag:%223wat8zmvg542fm%22	https://pantip.com/tag/%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%a3%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%94%e0%b8%99%e0%b8%95%e0%b8%a3%e0%b8%b5%e0%b8%ab%e0%b8%8d%e0%b8%b4%e0%b8%87	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%a3%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%94%e0%b8%99%e0%b8%95%e0%b8%a3%e0%b8%b5%e0%b8%ab%e0%b8%8d%e0%b8%b4%e0%b8%87.html	(from https://pantip.com/)
15:13:39	49340/49340	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:10%20GMT	https://pantip.com/profile/8626624	C:/My%20Web%20Sites/pantip/pantip.com/profile/8626624.html	(from https://pantip.com/)
15:13:39	1426/1426	---M--	200	added ('OK')	image/jpeg	etag:%2267a5e7d4-592%22	https://p.ptcdn.info/160/016/000/8626624_17389260360841_m.jpg	C:/My%20Web%20Sites/pantip/p.ptcdn.info/160/016/000/8626624_17389260360841_m.jpg	(from https://pantip.com/)
15:13:42	170641/170641	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:13%20GMT	https://pantip.com/topic/43296613	C:/My%20Web%20Sites/pantip/pantip.com/topic/43296613.html	(from https://pantip.com/)
15:13:43	204637/204637	---MCZ	200	added ('OK')	text/html	etag:%221ysdvq8y083q97%22	https://pantip.com/tag/%e0%b8%ad%e0%b8%b2%e0%b8%ab%e0%b8%b2%e0%b8%a3	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%ad%e0%b8%b2%e0%b8%ab%e0%b8%b2%e0%b8%a3.html	(from https://pantip.com/)
15:13:43	216086/216086	---MCZ	200	added ('OK')	text/html	etag:%22yjfquor2xc3wos%22	https://pantip.com/tag/%e0%b9%80%e0%b8%a1%e0%b8%99%e0%b8%b9%e0%b8%97%e0%b8%ad%e0%b8%94	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b9%80%e0%b8%a1%e0%b8%99%e0%b8%b9%e0%b8%97%e0%b8%ad%e0%b8%94.html	(from https://pantip.com/)
15:13:44	220386/220386	---MCZ	200	added ('OK')	text/html	etag:%221j9sjdw3jb3x4m%22	https://pantip.com/tag/%e0%b9%82%e0%b8%a0%e0%b8%8a%e0%b8%99%e0%b8%b2%e0%b8%81%e0%b8%b2%e0%b8%a3	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b9%82%e0%b8%a0%e0%b8%8a%e0%b8%99%e0%b8%b2%e0%b8%81%e0%b8%b2%e0%b8%a3.html	(from https://pantip.com/)
15:13:44	205398/205398	---MCZ	200	added ('OK')	text/html	etag:%22wbd6ox7fn53oli%22	https://pantip.com/tag/%e0%b8%aa%e0%b8%b8%e0%b8%82%e0%b8%a0%e0%b8%b2%e0%b8%9e%e0%b8%81%e0%b8%b2%e0%b8%a2	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%aa%e0%b8%b8%e0%b8%82%e0%b8%a0%e0%b8%b2%e0%b8%9e%e0%b8%81%e0%b8%b2%e0%b8%a2.html	(from https://pantip.com/)
15:13:46	230508/230508	---MCZ	200	added ('OK')	text/html	etag:%2211wr4nee7yo431o%22	https://pantip.com/tag/%e0%b8%84%e0%b8%a5%e0%b8%b1%e0%b8%9a%e0%b8%aa%e0%b8%b8%e0%b8%82%e0%b8%a0%e0%b8%b2%e0%b8%9e	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%84%e0%b8%a5%e0%b8%b1%e0%b8%9a%e0%b8%aa%e0%b8%b8%e0%b8%82%e0%b8%a0%e0%b8%b2%e0%b8%9e.html	(from https://pantip.com/)
15:13:46	53366/53366	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:17%20GMT	https://pantip.com/profile/287767	C:/My%20Web%20Sites/pantip/pantip.com/profile/287767.html	(from https://pantip.com/)
15:13:46	1751/1751	---M--	200	added ('OK')	image/jpeg	etag:%2253be8428-6d7%22	https://p.ptcdn.info/310/002/000/287767_8798741984_----_m.jpg	C:/My%20Web%20Sites/pantip/p.ptcdn.info/310/002/000/287767_8798741984_----_m.jpg	(from https://pantip.com/)
15:13:47	171705/171705	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:18%20GMT	https://pantip.com/topic/43299474	C:/My%20Web%20Sites/pantip/pantip.com/topic/43299474.html	(from https://pantip.com/)
15:13:47	223829/223829	---MCZ	200	added ('OK')	text/html	etag:%22tow6o882ml3yw5%22	https://pantip.com/tag/%e0%b9%80%e0%b8%84%e0%b8%a5%e0%b9%87%e0%b8%94%e0%b8%a5%e0%b8%b1%e0%b8%9a%e0%b8%81%e0%b9%89%e0%b8%99%e0%b8%84%e0%b8%a3%e0%b8%b1%e0%b8%a7	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b9%80%e0%b8%84%e0%b8%a5%e0%b9%87%e0%b8%94%e0%b8%a5%e0%b8%b1%e0%b8%9a%e0%b8%81%e0%b9%89%e0%b8%99%e0%b8%84%e0%b8%a3%e0%b8%b1%e0%b8%a7.html	(from https://pantip.com/)
15:13:48	230306/230306	---MCZ	200	added ('OK')	text/html	etag:%22i2mjk32r4m3xi6%22	https://pantip.com/tag/%e0%b8%ad%e0%b8%b8%e0%b8%9b%e0%b8%81%e0%b8%a3%e0%b8%93%e0%b9%8c%e0%b9%80%e0%b8%84%e0%b8%a3%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%87%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b8%a0%e0%b8%b2%e0%b8%a2%e0%b9%83%e0%b8%99%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%ad%e0%b8%b8%e0%b8%9b%e0%b8%81%e0%b8%a3%e0%b8%93%e0%b9%8c%e0%b9%80%e0%b8%84%e0%b8%a3%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%87%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b8%a0%e0%b8%b2%e0%b8%a2%e0%b9%83%e0%b8%99%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99.html	(from https://pantip.com/)
15:13:48	229511/229511	---MCZ	200	added ('OK')	text/html	etag:%22z76yikcfod3zgl%22	https://pantip.com/tag/%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b8%a0%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c%e0%b8%97%e0%b8%b3%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%aa%e0%b8%b0%e0%b8%ad%e0%b8%b2%e0%b8%94	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b8%a0%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c%e0%b8%97%e0%b8%b3%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%aa%e0%b8%b0%e0%b8%ad%e0%b8%b2%e0%b8%94.html	(from https://pantip.com/)
15:13:49	223975/223975	---MCZ	200	added ('OK')	text/html	etag:%225jexy2y0h53vw5%22	https://pantip.com/tag/DIY_%e0%b9%80%e0%b8%84%e0%b8%a3%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%87%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b9%83%e0%b8%99%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99	C:/My%20Web%20Sites/pantip/pantip.com/tag/DIY_%e0%b9%80%e0%b8%84%e0%b8%a3%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%87%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b9%83%e0%b8%99%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99.html	(from https://pantip.com/)
15:13:49	232268/232268	---MCZ	200	added ('OK')	text/html	etag:%22sggz2prpic40ju%22	https://pantip.com/tag/%e0%b8%ad%e0%b8%b8%e0%b8%9b%e0%b8%81%e0%b8%a3%e0%b8%93%e0%b9%8c%e0%b8%97%e0%b8%b3%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%aa%e0%b8%b0%e0%b8%ad%e0%b8%b2%e0%b8%94	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%ad%e0%b8%b8%e0%b8%9b%e0%b8%81%e0%b8%a3%e0%b8%93%e0%b9%8c%e0%b8%97%e0%b8%b3%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%aa%e0%b8%b0%e0%b8%ad%e0%b8%b2%e0%b8%94.html	(from https://pantip.com/)
15:13:50	54551/54551	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:21%20GMT	https://pantip.com/profile/386911	C:/My%20Web%20Sites/pantip/pantip.com/profile/386911.html	(from https://pantip.com/)
